No,Level_1,Level_2,Level_3,Object_name,Class_name,Old_name,Color,Packaging,Features,Description,Year,Picture,최종 검토 결과,
137,Electronics,Battery,Power Bank,power_bank,obj_137,portable_charger,"white, black",,"rectangular, simple dual-color design",A white and black item with a rectangular shape and a simple dual-color design.,2025,,O,
138,Health & Medical,Health Supplement,Red Ginseng Stick,red_ginseng_stick_box,obj_138,red_ginseng_extract_box,"red, gold",box packaging,"red ginseng image, ""고려홍삼액"" text, with logo","A red and gold box with a red ginseng image, “고려홍삼액” text, and a visible logo.",2025,,O,
139,Electronics,Skincare Tool,Facial Massager,facial_massager,obj_139,rf_facial_device,"white, silver",,"with power button, plastic & metal material",A white and silver item made of plastic and metal with a power button.,2025,,O,
140,Industrial Supplies,Camera Device,Machine Vision Camera,percipio_rgb_d_camera,obj_140,rgbd_camera,black,,"rectangular, many holes, metal material",A black rectangular item made of metal with many holes.,2025,,O,
141,General Goods,Tableware,Rice Bowl,rice_bowl,obj_141,rice_bowl,light_brown,,"round ceramic, simple finish",A light brown ceramic item with a round shape and a simple finish.,2025,,O,
142,Food & Beverage,Side Dish,Laver,gwacheon_seaweed_plastic_wrap,obj_142,roasted_seaweed_packet,"black, green, white",plastic pouch,"""과천 파래김"" text, seaweed image","A black, green, and white plastic pouch with “과천 파래김” text and a seaweed image.",2025,,O,
143,Office Supplies,Stamping Tool,Stamp,rubber_stamp,obj_143,rubber_stamp,"red, white",,"rectangular, ""이면지활용"" text, dual color",A red and white rectangular item with “이면지활용” text and a dual-color design.,2025,,O,
144,General Goods,Cleaning Agent,Ethanol Spray,ethanol_spray,obj_144,rubbing_alcohol_spray,"teal, white",spray type,"83% cleaning ethanol, spray nozzle",A teal and white spray-type item with 83% cleaning ethanol and a spray nozzle.,2025,,O,
145,Fashion Accessories,Footwear,Running Shoes,running_shoes,obj_145,running_shoes,beige,,"thick sole, includes laces",A beige item with thick soles and laces included.,2025,,O,
146,Beauty,Hair Care,Scalp Serum,har_scalp_serum,obj_146,scalp_cooling_serum,white,,"nozzle tip, cylindrical shape, pointed end",A white cylindrical item with a nozzle tip and a pointed end.,2025,,O,
147,Food & Beverage,Cooking Oil,Sesame Oil,beksul_sesame_oil_can,obj_147,sesame_oil_can,"red, white, brown",can,"""진한참기름"" text, plant image, ""백설"" logo, aluminum can material","A red, white, and brown aluminum can with “진한참기름” text, a plant image, and the “백설” logo.",2025,,O,
148,Electronics,Communication Device,Streaming Device,google_chromecast_box,obj_148,streaming_device_box,white,box packaging,"""Chromecast"" text, Google G logo",A white box featuring “Chromecast” text and the Google G logo.,2025,,O,
149,Beauty,Sun Protection,Sunscreen,etude_sunscreen,obj_149,sunscreen,white,tube type,"white cap, glossy finish",A white tube with a white cap and a glossy finish.,2025,,O,
150,Beauty,Sun Protection,Sunscreen,etude_sunscreen_box,obj_150,sunscreen_box,"white, sky_blue",box packaging,"""디렉터 파이"" text, sunscreen image",A white and sky blue box with “디렉터 파이” text and a sunscreen image.,2025,,O,
151,Health & Medical,Health Supplement,Supplement,dambaekharu_omega_essence_box,obj_151,supplement_box,brown,box packaging,"""담백하루"" text, water droplet image",A brown box with “담백하루” text and a water droplet image.,2025,,O,
152,Food & Beverage,Side Dish,Sweet Corn,dongwon_sweet_corn_can,obj_152,sweetcorn_can,"yellow, green",can,"corn image, ""스위트콘"" text, aluminum can material",A yellow and green aluminum can with a corn image and “스위트콘” text.,2025,,O,
153,Sports & Hobby,Ball Game Item,Tennis Ball,tennis_ball,obj_153,tennis_ball,"gray, white",,"dark tone, white line, sphere shape","A gray and white item with a dark tone, a white line, and a spherical shape.",2025,,O,
154,Electronics,Camera Device,Camera,thermal_imaging_camera_box,obj_154,thermal_imager_box,"white,  gray",box packaging,"camera image, barcode image",A white and gray box featuring a camera image and a barcode.,2025,,O,
155,Beauty,Makeup,Tint,tint,obj_155,tint,"red, white",plastic bottle,"cylindrical shape, white cap",A red and white plastic bottle with a cylindrical shape and white cap.,2025,,O,
156,General Goods,Hygiene Product,Tissue,square_tissue,obj_156,tissue_box,"sky_blue, blue",box packaging,"character image, ""Tamsaa"" text",A sky blue and blue box with a character image and “Tamsaa” text.,2025,,O,
157,Electronics,Automotive Item,Smart Key,hyundai_smart_key,obj_157,smart_key,"black, silver",,has 4 buttons,A black and silver item with four visible buttons.,2025,,O,
158,Electronics,Tracking Device,Smart Tag,galaxy_smart_tag,obj_158,smart_tag_box,"white, black, gray",box packaging,"""Galaxy SmartTag"" text, smart tag photo","A white, black, and gray box featuring “Galaxy SmartTag” text and a smart tag photo.",2025,,O,
159,Food & Beverage,Sauce,Tomato Puree,pomi_tomato_puree_pack,obj_159,tomato_pure_pack,"red, white",,"""POMI TOMATO"" text, tomato illustration",A red and white item with “POMI TOMATO” text and a tomato illustration,2025,,O,
160,General Goods,Oral Care,Toothpaste,sensodyne_toothpaste_box,obj_160,tooth_paste_box,"white, blue",box packaging,"""Sensodyne"" text, blue wave graphic",A white and blue box with “Sensodyne” text and a blue wave graphic.,2025,,O,
161,General Goods,Interior Item,Figure,car_figure,obj_161,toy_car,"navy_blue, black",,car shape,A navy blue and black item shaped like a car.,2025,,O,
162,General Goods,Interior Item,Figure,car_figure_box,obj_162,toy_car_box,"blue, black",box packaging,blue mini car photo,A blue and black box featuring a photo of a blue mini car.,2025,,O,
163,Kitchenware,Mounting Tool,Pot Stand,foldable_pot_stand,obj_163,trivet,beige,,"4 legs, foldable structure, pinwheel shape","A beige item with four legs, a foldable structure, and a pinwheel shape.",2025,,O,
164,Industrial Supplies,Heat Tool,Turbo Lighter,turbo_lighter,obj_164,turbo_lighter,black,,"Taegeukgi (Korean flag) image, thin profile",A black item with a Taegeukgi (Korean flag) image and a thin profile.,2025,,O,
165,Electronics,Cable,USB Cable,usb_cable_box,obj_165,usb_c_cable_box,"orange, black",box packaging,"""TYPE-C QUICK CABLE"" text, cable image",An orange and black box with “TYPE-C QUICK CABLE” text and a cable image.,2025,,O,
166,General Goods,Mounting Tool,Smartphone Tripod,smartphone_tripod,obj_166,smartphone_tripod,white,,"3 legs, foldable structure",A white item with three legs and a foldable structure.,2025,,O,
167,General Goods,Mounting Tool,Smartphone Tripod,smartphone_tripod_box,obj_167,smartphone_tripod_box,white,box packaging,"tripod image, elongated shape",A white box featuring a tripod image and an elongated shape.,2025,,O,
168,Electronics,Wearable Device,Smartwatch,galaxy_smart_watch,obj_168,smartwatch,"black, silver",,"watch shape, metal and rubber material","A black and silver item shaped like a watch, made of metal and rubber.",2025,,O,
169,Fashion Accessories,Footwear,Sneakers,vans_sneakers,obj_169,sneakers,"white, navy_blue",,"wave symbol on side, ""VANS"" logo",A white and navy blue item with a wave symbol on the side and the “VANS” logo.,2025,,O,
170,Food & Beverage,Soft Drink,Cider,chilsung_cider_can,obj_170,soda_can,"silver, green",aluminum can,"""Chilsung"" text, aluminum material",A silver and green aluminum can with “Chilsung” text and a metallic finish.,2025,,O,
171,Food & Beverage,Sauce,Spicy Cheese Sauce,dipping_spicy_chicken_cheese_sauce_bottle,obj_171,spicy_cheese_sauce,red,plastic bottle,"brown cap, speech bubble graphic, “찍먹 맵닭 치즈” text","A red plastic bottle with a brown cap, a speech bubble graphic, and “찍먹 맵닭 치즈” text.",2025,,O,
172,Kitchenware,Cleaning Tool,Scrubber,dual_sided_kitchen_scrubber,obj_172,sponge,"yellow, green",,sponge and scrubber dual structure,A yellow and green item with a dual structure of sponge and scrubber.,2025,,O,
173,General Goods,Sewing Tool,Thread Roll,thread_roll,obj_173,spool_of_thread,"black, magenta",,"cylindrical, wrapped with black thread",A black and magenta cylindrical item wrapped with black thread.,2025,,O,
174,Office Supplies,Binding Supply,Stapler Refill,peace_stapler_pins_box,obj_174,staples_box,"yellow, black",box packaging,"""Peace No.33"" text",A yellow and black box with “Peace No.33” text.,2025,,O,
175,Office Supplies,Writing Tool,Memo Pad,post_it_notes,obj_175,sticky_notes,light_yellow,,paper material,A light yellow item made of paper material.,2025,,O,
176,Electronics,Control Device,Stream Controller,elgato_stream_deck_mini_box,obj_176,streaming_controller_box,"navy_blue, blue",box packaging,"""STREAM DECK MINI"" text, stream controller image, many English characters","A navy blue and blue box with “STREAM DECK MINI” text, a stream controller image, and many English characters.",2025,,O,
177,Electronics,Smoking Item,E-cigarette,e_cigarette,obj_177,vape,white,,slim cylindrical shape,A white item with a slim cylindrical shape.,2025,,O,
178,Food & Beverage,Snack,Wafer Stick,oreo_wafer_stick_box,obj_178,wafer_stick_box,"blue, brown",box packaging,"""오레오 웨하스스틱 초코"" text, chocolate snack illustration",A blue and brown box with “오레오 웨하스스틱 초코” text and a chocolate snack illustration.,2025,,O,
179,Food & Beverage,Snack,Wafer Stick,oreo_wafer_stick,obj_179,wafer_stick_packet,"blue, brown",plastic pouch,"""오레오 웨하스스틱 초코"" text, chocolate snack image",A blue and brown plastic pouch with “오레오 웨하스스틱 초코” text and a chocolate snack image.,2025,,O,
180,General Goods,Laundry Product,Drum Cleaner,washing_machine_drum_cleaner_box,obj_180,washing_machine_cleaner_box,"brown, beige",box packaging,"washing machine illustration, paper box material",A brown and beige box featuring a washing machine illustration and made of paper box material.,2025,,O,
181,Sports & Hobby,Spraying Tool,Watering Can,watering_can,obj_181,watering_can,beige,,"plastic material, with handle, elongated spout",A beige plastic item with a handle and an elongated spout.,2025,,O,
182,Electronics,Camera Device,Webcam,logitech_webcam,obj_182,webcam,black,,plastic and glass material,A black item made of plastic and glass materials.,2025,,O,
183,Office Supplies,Writing Tool,Whiteboard Eraser,whiteboard_eraser,obj_183,whiteboard_eraser,"gray, red, white",,"""5겹 지우개"" text, rectangular shape","A gray, red, and white item with “5겹 지우개” text and a rectangular shape.",2025,,O,
184,General Goods,Insect Repellent,Mite Repellent,mykeeper,obj_184,mite_repellent,"white, light_green",pump_type,"green pump cap, ""마이키파"" text, 뽀로로 character","A white and light green pump-type container with a green pump cap, “마이키파” text, and a 뽀로로 character.",2025,,O,
185,Sports & Hobby,Gardening Tool,Hand Shovel,metal_hand_shovel,obj_185,steel_garden_trowel,"white, black",,"with black handle, white metal material",A white and black item with a black handle and white metal body.,2025,,O,
186,Beauty,Makeup,Cotton Pad,silky_cotton_pad_box,obj_186,silky_cotton_pad_box,"light_green, white",box packaging,"""실키 화장솜"" text, cotton pad illustration",A light green and white box featuring “실키 화장솜” text and a cotton pad illustration.,2025,,O,
187,General Goods,Mounting Tool,Soap Dish,silicone_soap_dish,obj_187,silicone_round_soap_dish,blue,,"""fondest"" engraving, silicone material",A blue silicone item with a “fondest” engraving.,2025,,O,
188,General Goods,Laundry Product,Fabric Softener,saffron_fabric_softener,obj_188,saffron_fabric_softener,red,plastic bottle,"""샤프란"" text, with handle, black cap","A red plastic bottle with “샤프란” text, a black cap, and a built-in handle.",2025,,O,
189,Sports & Hobby,Gardening Tool,Hand Shovel,plastic_hand_shovel,obj_189,plastic_garden_trowel,beige,,"with handle, trowel shape",A beige item with a handle and a trowel shape.,2025,,O,
190,General Goods,Mounting Tool,Paper Cup Holder,paper_cup_holder,obj_190,paper_cup_handle,beige,,"with handle, cup shape",A beige item with a handle and a cup shape.,2025,,O,
191,Food & Beverage,Snack,Chewing Gum,mychew_xylitol_bottle,obj_191,mychew_xylitol_bottle,purple,plastic container,"""마이쮸 자일리톨"" text, purple cap",A purple plastic container with “마이쮸 자일리톨” text and a purple cap.,2025,,O,
192,General Goods,Fastening Tool,Blanket Clip,blanket_clip,obj_192,large_laundry_clip,white,,"large_clamp_shape, plastic material",A white plastic item shaped like a large clamp.,2025,,O,
193,General Goods,Cooling Item,Ice Pack,ice_pack,obj_193,ice_pack,blue,,"""ICE PACK"" engraving, snowflake pattern, square shape",A blue square item with “ICE PACK” engraving and a snowflake pattern.,2025,,O,
194,Health & Medical,Sanitizing Product,Alcohol Swab,alcohol_swab_box,obj_194,alcohol_swab_box,"white, blue",box packaging,"""에탄올 83% 알콜스왑"" text, white square cotton illustration",A white and blue box with “에탄올 83% 알콜스왑” text and a white square cotton illustration.,2025,,O,
195,General Goods,Cleanser,Soap,apricot_soap_box,obj_195,apricot_soap,"yellow, orange",box packaging,"""향긋한 살구비누"" text, apricot image, apricot pattern background","A yellow and orange box with “향긋한 살구비누” text, an apricot image, and an apricot-patterned background.",2025,,O,
196,Sports & Hobby,Ball Game Item,Baseball,baseball,obj_196,baseball,"white, red",,"red_stitch, spherical shape",A white and red spherical item with red stitching.,2025,,O,
197,Food & Beverage,Snack,Biscuit,lotus_biscoff_plastic_wrap,obj_197,biscoff_cookie_wrapped,"red, white, orange",plastic wrap,"""biscoff"" text, cookie image, rectangular shape","A red, white, and orange plastic-wrapped item with “biscoff” text and a cookie image in a rectangular form.",2025,,O,
198,General Goods,Cleaning Agent,Drain Cleaner,homestar_drain_cleaner_box,obj_198,drain_cleaner_box,"white, red, blue",box packaging,"""홈스타 보글보글 발포 배수구 세정제"" text","A white, red, and blue box featuring “홈스타 보글보글 발포 배수구 세정제” text.",2025,,O,
199,General Goods,Ice Tool,Ice Ball Tray,ice_ball_tray_4_slot,obj_199,ice_ball_tray,white,,4 spheres inside rectangular shape,A white item with four spheres enclosed in a rectangular shape.,2025,,O,
200,Fashion Accessories,Storage Item,Coin Purse,coin_purse,obj_200,coin_pouch,khaki,,"character wallet shape, plush texture, with zipper, square shape","A khaki item shaped like a character wallet with a plush texture, square shape, and a zipper.",2025,,O,
201,Electronics,Control Device,Remote Control,lg_whisen_air_conditioner_remote,obj_201,aircon_remote,white,,"has display, many buttons","A white aircon remote with has display, many buttons.",2024,,O,
202,Electronics,Input Device,Barcode Scanner,barcode_scanner,obj_202,barcode_scanner,black,,has handle,A black barcode scanner with has handle.,2024,,O,
203,Fashion Accessories,Accessory,Belt,leather_belt,obj_203,belt,dark brown,,rolled in circular shape,A dark brown belt with rolled in circular shape.,2024,,O,
204,General Goods,Insulated Container,Thermos Bottle,thermos_bottle,obj_204,bottle,ivory,,elongated cylinder,A ivory bottle with elongated cylinder.,2024,,O,
205,General Goods,Cleaning Tool,Cleaning Brush,daiso_double_sided_cleaning_brush,obj_205,brush,mint,,"brush on both sides, elongated","A mint brush with brush on both sides, elongated.",2024,,O,
206,Industrial Supplies,Fastening Tool,Clamp,c_type_clamp,obj_206,clamp,deep blue,,C-shaped metal clamp with a threaded screw handle,"Deep blue, C-shaped metal clamp with a threaded screw handle.",2024, ,O,
207,Beauty,Skincare,Cleansing Foam,la_roche_posay_cleansing_foam,obj_207,cleansing_foam,"sky blue, white",tube type,"sky blue base with white text, white cap","A sky blue, white cleansing foam with sky blue base with white text, white cap, packaged in a tube type.",2024,,O,
208,Beauty,Skincare,Cleansing Foam,senka_perfect_whip_cleansing_foam,obj_208,cleansing_foam2,ivory,tube type,"ivory base with blue text, 'perfect whip' written","A ivory cleansing foam2 with ivory base with blue text, 'perfect whip' written, packaged in a tube type.",2024,,O,
209,Fashion Accessories,Accessory,Wristwatch,leather_wristwatch,obj_209,clock,"brown, copper",,brown strap,"A brown, copper clock with brown strap.",2024,,O,
210,Food & Beverage,Soft Drink,Cola,coca_cola_can,obj_210,cola,"red, silver",can,"red base with white text, cylindrical shape","A red, silver cola with red base with white text, cylindrical shape, packaged in a can.",2024,,O,
211,Beauty,Skincare,Moisturizing Cream,round_lab_moisturizing_cream,obj_211,cream,"white, blue",tube type,white cap,"A white, blue cream with white cap, packaged in a tube type.",2024,,O,
212,Kitchenware,Tableware,Cup,blue_bottle_mug,obj_212,cup,"sky blue, oatmeal",,"sky blue bottle-shaped logo, has handle","A sky blue, oatmeal cup with sky blue bottle-shaped logo, has handle.",2024,,O,
213,General Goods,Interior Item,Plush Toy,chunsik_plush_toy,obj_213,doll,"yellow, brown",,"human figure, animal face character, brown bottom","A yellow, brown doll with human figure, animal face character, brown bottom.",2024,,O,
214,Industrial Supplies,Fastening Tool,Screwdriver,phillips_screwdriver,obj_214,driver,"red, black",,"elongated, sharp tip","A red, black driver with elongated, sharp tip.",2024,,O,
215,Sports & Hobby,Fitness Equipment,Dumbbell,hex_dumbbell_5kg,obj_215,dumbell,oatmeal,,hexagonal ends,A oatmeal dumbell with hexagonal ends.,2024,,O,
216,Kitchenware,Cooking Tool,Turner,kitchenart_turner,obj_216,fliper,light green,,"elongated handle, flat","A light green fliper with elongated handle, flat.",2024,,O,
217,General Goods,Fuel,Butane Gas,max_butane_gas,obj_217,gas,"red,yellow, blue, silver",can,"navy cap, cylindrical shape","A red,yellow, blue, silver gas with navy cap, cylindrical shape, packaged in a can.",2024,,O,
218,Fashion Accessories,Storage Item,Glasses Case,glasses_case,obj_218,glass_case,black,,elongated polyhedron,A black glass case with elongated polyhedron.,2024,,O,
219,Electronics,Beauty Appliance,Hair Dryer,patech_hair_dryer,obj_219,hair_dry,"black, copper",,L-shaped,"A black, copper hair dry with L-shaped.",2024,,O,
220,Industrial Supplies,Striking Tool,Hammer,hammer,obj_220,hammer,black,,"T-shape, long handle","A black hammer with T-shape, long handle.",2024,,O,
221,General Goods,Cleanser,Hand Soap,lion_hand_soap,obj_221,hand_soap,"yellow, white",,"white pump, yellow body","A yellow, white hand soap with white pump, yellow body.",2024,,O,
222,Electronics,Audio Device,Headphones,qcy_headphones,obj_222,headphone,white,,round shape,A white headphone with round shape.,2024,,O,
223,Electronics,Audio Device,Headphones,qcy_headphones_box,obj_223,headphone_box,"white, black",box packaging,"headphone image, QCY logo","A white, black headphone box with headphone image, QCY logo, packaged in a box packaging.",2024,,O,
224,Industrial Supplies,Heat Tool,Heat Gun,heat_gun,obj_224,heeting_gun,charcoal,,"gun shape, has handle","A charcoal heeting gun with gun shape, has handle.",2024,,O,
225,Electronics,Communication Device,Intercom Handset,intercom_handset,obj_225,interphone,white,,elongated,A white interphone with elongated.,2024,,O,
226,Electronics,Clothing Care,Iron,no_brand_dry_iron,obj_226,iron,"	white, gray",,"has handle, sharp tip","A white, gray iron with has handle, sharp tip.",2024,,O,
227,Kitchenware,Hygiene Product,Kitchen Towel,comet_pull_out_kitchen_towel,obj_227,kitchen_towel,"white, blue",plastic pouch,cube shape,"A white, blue kitchen towel with cube shape, packaged in a plastic pouch.",2024,,O,
228,Industrial Supplies,Cutting Tool,Cutter,utility_knife,obj_228,knife,"black, red, silver",,"has blade, elongated","A black, red, silver knife with has blade, elongated.",2024,,O,
229,Industrial Supplies,Adhesive Tool,Threadlocker,loctite_242_threadlocker,obj_229,lock_tite,"red, white",,"white cap, red body","A red, white lock tite with white cap, red body.",2024,,O,
230,Industrial Supplies,Adhesive Tool,Instant Adhesive,loctite_401_instant_adhesive,obj_230,lock_tite2,"blue, white",,"blue body, blue cap","A blue, white lock tite2 with blue body, blue cap.",2024,,O,
231,Food & Beverage,Fruit,Korean Melon,korean_melon,obj_231,melon,yellow,,yellow oval,A yellow melon with yellow oval.,2024,,O,
232,Food & Beverage,Dairy Product,Flavored Milk,seoul_strawberry_milk,obj_232,milk,"red, pink, white",pack,"strawberry image, '서울우유' text","A red, pink, white milk with strawberry image, '서울우유' text, packaged in a pack.",2024,,O,
233,Electronics,Input Device,Mouse,logitech_g304_wireless_mouse,obj_233,mouse,"blue, sky blue",,alphabet 'G' logo,"A blue, sky blue mouse with alphabet 'G' logo.",2024,,O,
234,Electronics,Power Device,Power Strip,t_shaped_3_outlet_power_strip,obj_234,multi_tap,white,,"T-shape, pig nose-shaped holes","A white multi tap with T-shape, pig nose-shaped holes.",2024,,O,
235,Office Supplies,Writing Tool,Permanent Marker,name_pen,obj_235,name_pen,"	white, black",,"elongated, black cap","A white, black name pen with elongated, black cap.",2024,,O,
236,Industrial Supplies,Cutting Tool,Nipper,plato_nipper,obj_236,nipper,"navy, black",,"sharp tip, V-shape","A navy, black nipper with sharp tip, V-shape.",2024,,O,
237,Industrial Supplies,Cutting Tool,Pliers,pliers,obj_237,pench,"red, dark brown",,red handle,"A red, dark brown pench with red handle.",2024,,O,
238,Office Supplies,Storage Item,Pencil Case,moomin_pencil_case,obj_238,pencil_case,"mint, navy",,elongated cylindrical shape,"A mint, navy pencil case with elongated cylindrical shape.",2024,,O,
239,General Goods,Mobile Accessory,Phone Holder,smartphone_holder,obj_239,phone_stand,"black, white, sky blue",,"black base, has character","A black, white, sky blue phone stand with black base, has character.",2024,,O,
240,Kitchenware,Cleaning Agent,Dish Soap,amway_dishwashing_liquid,obj_240,pongpong,"white, yellow",,"white cap, 'home' text, rectangular cuboid","A white, yellow pongpong with white cap, 'home' text, rectangular cuboid.",2024,,O,
241,Fashion Accessories,Storage Item,Pouch,cosmetic_pouch,obj_241,pouch,pink,,overall pink,A pink pouch with overall pink.,2024,,O,
242,Electronics,Audio Device,Wireless Earbuds (Closed),qcy_t13_(closed),obj_242,qcy_closed,white,,white pebble shape,A white qcy closed with white pebble shape.,2024,,O,
243,Electronics,Audio Device,Wireless Earbuds (Open),qcy_t13_(open),obj_243,qcy_opened,white,,folds in L-shape,A white qcy opened with folds in L-shape.,2024,,O,
244,Food & Beverage,Instant Food,Instant Rice,hetbahn_regular_bowl,obj_244,rice,"white, red",,"circular, '햇반' text","A white, red rice with circular, '햇반' text.",2024,,O,
245,Industrial Supplies,Cutting Tool,Saw,foldable_saw,obj_245,saw,"yellow, black, silver",,"black handle, silver saw blade","A yellow, black, silver saw with black handle, silver saw blade.",2024,,O,
246,Industrial Supplies,Cutting Tool,Scissors,multipurpose_scissors,obj_246,scissors,"teal, silver, black",,"teal handle, sharp tip","A teal, silver, black scissors with teal handle, sharp tip.",2024,,O,
247,Kitchenware,Cooking Tool,Ladle,stainless_ladle,obj_247,scoop,silver,,"silver handle, convex or concave tip","A silver scoop with silver handle, convex or concave tip.",2024,,O,
248,Office Supplies,Adhesive Tool,Tape,transparent_tape_48mm,obj_248,scotch_tape,yellow,,donut shape,A yellow scotch tape with donut shape.,2024,,O,
249,Industrial Supplies,Cleaning Tool,Scraper,stainless_scraper,obj_249,scrapper,"silver, black",,"black handle, silver fan shape","A silver, black scrapper with black handle, silver fan shape.",2024,,O,
250,Beauty,Hair Care,Shampoo,amway_anti_dandruff_shampoo,obj_250,shampoo,teal ,,"cylindrical shape, with pump","A teal shampoo with cylindrical shape, with pump.",2024, ,O,
251,Electronics,Beauty Appliance,Electric Shaver,philips_electric_shaver,obj_251,shaver,"navy, black",,has handle,"A navy, black shaver with has handle.",2024,,O,
252,Beauty,Skincare,Toner,makeprem_toner,obj_252,skincare,green,bottle,"green cap, 'inteca' text in green","A green skincare with green cap, 'inteca' text in green, packaged in a bottle.",2024,,O,
253,General Goods,Footwear,Slippers,anti_slip_slippers,obj_253,sliper,oatmeal,,protrusions on bottom,A oatmeal sliper with protrusions on bottom.,2024,,O,
254,Kitchenware,Cooking Tool,Rice Paddle,ottugi_rice_paddle,obj_254,spatula,"sky blue, black",,"has handle, spoon shape","A sky blue, black spatula with has handle, spoon shape.",2024,,O,
255,Kitchenware,Disposable Tableware,Spoon,disposable_plastic_spoon,obj_255,spoon,white,,"one side round, elongated handle","A white spoon with one side round, elongated handle.",2024,,O,
256,Beauty,Hair Styling Tool,Hair Spray,milbon_nigelle_hair_spray,obj_256,spray,"white, purple, navy",,"elongated cylindrical shape, white to purple gradient","A white, purple, navy spray with elongated cylindrical shape, white to purple gradient.",2024,,O,
257,General Goods,Spraying Tool,Sprayer,polygon_sprayer,obj_257,sprayer,"pink, black",,pink polygonal container,"A pink, black sprayer with pink polygonal container.",2024,,O,
258,General Goods,Cleaning Tool,Squeegee,modern_house_squeegee,obj_258,squeeze,white,,T-shape,A white squeeze with T-shape.,2024,,O,
259,Office Supplies,Stamping Tool,Stamp,gogostamp_self_inking_stamp,obj_259,stamp,black,,cylindrical shape,A black stamp with cylindrical shape.,2024,,O,
260,Food & Beverage,Sweetener,Stevia,q_one_stevia_pack,obj_260,stevia,"green, white",zipper bag,"스테비아' text, half white and green color","A green, white stevia with '스테비아' text, half white and green color, packaged in a zipper bag.",2024,,O,
261,Industrial Supplies,Adhesive Tool,Tape,sealing_tape,obj_261,tape,navy,,donut shape,A navy tape with donut shape.,2024,,O,
262,Industrial Supplies,Measuring Tool,Tape Measure,komelon_metal_tape_measure,obj_262,tape_measure,"black, yellow",,7.5' text,"A black, yellow tape measure with 7.5' text.",2024,,O,
263,General Goods,Hygiene Product,Tissue,roll_tissue,obj_263,tissue,white,,donut and cylindrical shape,A white tissue with donut and cylindrical shape.,2024,,O,
264,General Goods,Oral Care,Tongue Cleaner,tongue_cleaner,obj_264,tongue_cleaner,white,,"elongated handle, blunt tip, with bumps","A white tongue cleaner with elongated handle, blunt tip, with bumps.",2024,,O,
265,General Goods,Oral Care,Toothbrush,sensodyne_toothbrush,obj_265,tooth_brush,"white, mint",,"elongated, brush at tip","A white, mint tooth brush with elongated, brush at tip.",2024,,O,
266,General Goods,Oral Care,Toothpaste,sensodyne_toothpaste,obj_266,tooth_paste,"white, navy",tube type,"white cap, 'sensodyne' text","A white, navy tooth paste with white cap, 'sensodyne' text, packaged in a tube type.",2024,,O,
267,Electronics,Control Device,Remote Control,theham_tv_remote,obj_267,tv_remote,"black,white",,"black body, many buttons, white text","A black,white tv remote with black body, many buttons, white text.",2024,,O,
268,Sports & Hobby,String Instrument,Ukulele,ukulele,obj_268,ukulele,dark brown,,wood texture,A dark brown ukulele with wood texture.,2024,,O,
269,General Goods,Rain Protection,Umbrella,foldable_umbrella,obj_269,umbrella,black,,"black cover, black handle","A black umbrella with black cover, black handle.",2024,,O,
270,Health & Medical,Health Supplement,Gut Health Supplement,hy_probiotics,obj_270,vitamin,"sky blue, white",plastic bottle,"half white and sky blue, cylindrical","A sky blue, white vitamin with half white and sky blue, cylindrical, packaged in a plastic bottle.",2024,,O,
271,Fashion Accessories,Storage Item,Wallet,wallet,obj_271,wallet,navy,,"square, leather material","A navy wallet with square, leather material.",2024,,O,
272,General Goods,Transport Tool,Scoop Bucket,scoop_bucket,obj_272,water_scooper,sky blue,,"elongated handle, convex or concave tip","A sky blue water scooper with elongated handle, convex or concave tip.",2024,,O,
273,Industrial Supplies,Fastening Tool,Wrench,hex_ball_wrench_set,obj_273,wrench,rainbow,,"rods of various lengths, thicknesses, and colors","A rainbow wrench with rods of various lengths, thicknesses, and colors.",2024,,O,
